ID,Name,Img
2031,"803 Studios",https://comicvine.gamespot.com/api/image/square_avatar/516443-2820_20071114093422_publisher.jpg
2033,"Neko Press",https://comicvine.gamespot.com/api/image/square_avatar/516506-cdthumb.jpg
2034,"Farrar, Straus, and Giroux",https://comicvine.gamespot.com/api/image/square_avatar/6617538-farrar-straus-giroux.gif
2035,"Teshkeel Comics",https://comicvine.gamespot.com/api/image/square_avatar/516588-2823_20070728102809_publisher.jpg
2036,"The Toy Man",https://comicvine.gamespot.com/api/image/square_avatar/516907-118906_20080516183111_large.jpg
2037,"01Comics.com",https://comicvine.gamespot.com/api/image/square_avatar/516912-01logo.gif
2038,"Aardwolf Productions",https://comicvine.gamespot.com/api/image/square_avatar/517006-1_1.jpg
2039,"Amazing Aaron Productions",https://comicvine.gamespot.com/api/image/square_avatar/517038-92702_20071117042917_large.jpg
2040,"WSOY",https://comicvine.gamespot.com/api/image/square_avatar/517041-3118_20080422034436_publisher.jpg
2041,"Drawn & Quarterly",https://comicvine.gamespot.com/api/image/square_avatar/6563690-5219658391-389_t.jpg
2042,"Desperado Publishing",https://comicvine.gamespot.com/api/image/square_avatar/517062-desperadoheader.jpg
2043,"St. Johns Publishing Co.",https://comicvine.gamespot.com/api/image/square_avatar/1483119-st.john.jpg
2044,"American Mule",https://comicvine.gamespot.com/api/image/square_avatar/517333-2.jpg
2045,"Dead Dog",https://comicvine.gamespot.com/api/image/square_avatar/517430-untitled.jpg
2046,"Digital Webbing",https://comicvine.gamespot.com/api/image/square_avatar/517439-dwplogo.gif
2047,"Ronin Studios",https://comicvine.gamespot.com/api/image/square_avatar/518266-untitled.jpg
2048,"Red 5 Comics",https://comicvine.gamespot.com/api/image/square_avatar/2345630-red5.jpg
2049,"Ace Comics",https://comicvine.gamespot.com/api/image/square_avatar/519785-untitled.jpg
2050,"Zuzupetal Press",https://comicvine.gamespot.com/api/image/square_avatar/519812-81603_20071202140450_large.jpg
2051,"Morning Star Productions",https://comicvine.gamespot.com/api/image/square_avatar/520232-untitled_scanned_10.jpg
2052,"Mad Monkey Press",https://comicvine.gamespot.com/api/image/square_avatar/2947499-darktown_1_1995_mmpr.jpg
2053,"IPC Magazines Ltd.",https://comicvine.gamespot.com/api/image/square_avatar/520562-untitled.jpg
2055,"Cross Plains Comics",https://comicvine.gamespot.com/api/image/square_avatar/3477153-cross%20plains%20comics%20logo.jpg
2056,"Triumph",https://comicvine.gamespot.com/api/image/square_avatar/526823-skyfire.jpg
